sample,unmapped,Reads_pe,Bases_pe
EGAF00001150770,26.564926,11294488,2054311436
EGAF00001150772,31.395113,9208844,1691640312
EGAF00001150775,22.074478,11300566,2149385910
EGAF00001150778,22.770506,14784867,2741946238
EGAF00001150780,31.328821,6700611,1210536734
EGAF00001150782,26.07724,12147308,2256966977
EGAF00001150784,32.041252,6925092,1250780012
EGAF00001150787,29.291689,9602420,1743290177
EGAF00001150788,25.268776,17448752,3229059816
EGAF00001150789,23.727596,15123556,2799073087
EGAF00001150790,29.708511,9240350,1717610321
EGAF00001150791,26.284801,22242769,4053898718
EGAF00001150799,23.886616,11186453,2065151032
EGAF00001150800,25.803911,10139377,1831790851
EGAF00001150801,25.980574,11385322,2141019501
EGAF00001150803,27.11137,11787250,2174421647
EGAF00001150809,21.060091,14345811,2626796361
EGAF00001150813,27.382284,8492849,1551620784
EGAF00001150816,25.012762,10619461,1974481166
EGAF00001150817,23.219109,20912641,3916796220
EGAF00001150818,27.233803,15877207,2872432427
EGAF00001150820,24.471706,15037292,2722451570
EGAF00001150822,26.47617,7885237,1447113468
EGAF00001150825,26.55362,12357732,2263745146
EGAF00001150827,24.239141,12500838,2276962253
EGAF00001150831,29.764593,9732257,1796528664
EGAF00001150836,23.414165,10750707,2008423063
EGAF00001150837,27.968956,10320383,1842043542
EGAF00001150847,34.719666,9196969,1736148588
EGAF00001150849,25.013578,12169211,2074405543
EGAF00001150853,24.777687,7956343,1419023705
EGAF00001150855,25.13253,15153131,2793599384
EGAF00001150859,32.49054,7473034,1342708250
EGAF00001150863,23.608267,33489250,6144693568
EGAF00001150866,26.2249,15629993,2908370143
EGAF00001150868,30.150574,11344102,2013743535
EGAF00001150873,24.7167,12106377,2230319021
EGAF00001150876,30.908411,11592578,2121446393
EGAF00001150877,19.417423,26696146,4917690549
EGAF00001150879,24.417091,12673865,2305023481
EGAF00001150880,26.940697,12269069,2238200254
EGAF00001150884,25.518566,15445650,2776075500
EGAF00001150885,25.360584,9292913,1729553357
EGAF00001150894,22.811348,14926707,2736389037
EGAF00001150897,24.807173,14942271,2768545404
EGAF00001150902,21.801376,25696249,4679774223
EGAF00001150904,24.876768,12155153,2200790447
EGAF00001150910,25.688791,11677544,2122937129
EGAF00001150912,25.498898,17104913,3141201121
EGAF00001150920,27.424759,18645931,3434911443
EGAF00001150924,29.572773,9903645,1822619608
EGAF00001150926,26.653599,13244838,2433492636
EGAF00001150932,25.14999,15470175,2784554546
EGAF00001150933,31.18245,12001022,2212969759
EGAF00001150934,23.477291,21529635,3925906537
EGAF00001150940,22.483475,18804487,3490747664
EGAF00001150948,35.037285,6165362,1123036798
EGAF00001150952,29.799717,7337018,1296766912
EGAF00001150953,24.223883,9910453,1821857119
EGAF00001150956,27.402884,14793835,2695786724
EGAF00001150957,24.86593,11691607,2127664305
EGAF00001150958,25.475449,16300292,3025925092
EGAF00001150960,26.01912,12179506,2195669226
EGAF00001150961,25.815523,24139886,4481511594
EGAF00001150964,24.084742,10445314,1930647344
EGAF00001150965,26.945633,11198852,2042224078
EGAF00001150968,27.732681,12092307,2185637170
EGAF00001150971,25.04905,9916528,1823599467
EGAF00001150975,33.14225,10627640,1917354177
EGAF00001150976,26.4727,13593951,2488858015
EGAF00001150977,31.089651,10291345,1832179223
EGAF00001150978,21.204853,17088826,3144677506
EGAF00001150979,24.54542,17613860,3239175995
EGAF00001150980,23.942106,18862902,3526165343
EGAF00001150982,31.771534,10318102,1844346804
